text,label
最近国内有什么消息,1
今日新闻吧,1
热点新闻哦,1
最近社会有什么消息,1
帮助我提供最新消息,1
重要新闻,1
最新消息呢,1
我想知道帮我查下新闻,1
帮我看看交通的新闻,1
我想了解财经的最新情况,1
帮我看看财经的新闻,1
麻烦查询体育的报道,1
请告诉我有什么新闻,1
重要新闻哦,1
我想了解人工智能的最新情况,1
最近政治有什么消息,1
有什么教育新闻,1
最近科技有什么消息,1
今日新闻,1
最近财经有什么消息,1
我想了解社会的最新情况,1
帮我看看汽车的新闻,1
麻烦查询政治的报道,1
最近健康有什么消息,1
帮我查下新闻哦,1
麻烦查询交通的报道,1
最近有什么新闻啦,1
帮我重要新闻,1
有什么体育新闻,1
能否有什么新闻,1
麻烦最新新闻,1
请告诉我最新新闻,1
最近军事有什么消息,1
帮我最近有什么新闻,1
今日新闻哦,1
娱乐的最新消息,1
麻烦查询教育的报道,1
新闻头条啊,1
请告诉我今日新闻,1
麻烦查询房产的报道,1
我想了解汽车的最新情况,1
国际的热点话题,1
我想了解旅游的最新情况,1
帮我看看互联网的新闻,1
可以告诉我最新消息,1
帮我查下新闻啊,1
我想了解体育的最新情况,1
最新消息哦,1
医疗的新闻资讯,1
麻烦查询环保的报道,1
环保的热点话题,1
请问最新消息,1
麻烦查询文化的报道,1
最新新闻吧,1
我想了解科技的最新情况,1
能否最新新闻,1
帮我看看国内的新闻,1
今天的新闻,1
最近交通有什么消息,1
最新新闻啦,1
军事的最新消息,1
健康的新闻资讯,1
最新新闻啊,1
麻烦查询国际的报道,1
最近娱乐有什么消息,1
请问最新新闻,1
有什么财经新闻,1
人工智能的新闻资讯,1
交通的最新消息,1
有什么旅游新闻,1
汽车的新闻资讯,1
新闻头条哦,1
科技的新闻资讯,1
可以告诉我最新新闻,1
麻烦查询人工智能的报道,1
请告诉我新闻头条,1
能否最新消息,1
旅游的新闻资讯,1
帮我看看科技的新闻,1
教育的热点话题,1
帮我看看政治的新闻,1
帮我查下新闻吧,1
那里有什么消息,1
热点新闻啦,1
文化的最新消息,1
麻烦查询娱乐的报道,1
麻烦查询科技的报道,1
帮我看看体育的新闻,1
请问重要新闻,1
帮我热点新闻,1
重要新闻呢,1
我想了解交通的最新情况,1
我想知道热点新闻,1
财经的热点话题,1
最近人工智能有什么消息,1
我想了解军事的最新情况,1
军事的新闻资讯,1
最近互联网有什么消息,1
麻烦查询医疗的报道,1
可以告诉我热点新闻,1
帮助我今天的新闻,1
麻烦查询旅游的报道,1
热点新闻,1
麻烦查询财经的报道,1
我想了解国内的最新情况,1
汽车的最新消息,1
可以告诉我今日新闻,1
请问最近有什么新闻,1
帮我看看环保的新闻,1
汽车的热点话题,1
我想了解娱乐的最新情况,1
环保的最新消息,1
最近有任何新闻吗,1
娱乐的热点话题,1
医疗的热点话题,1
帮我看看军事的新闻,1
麻烦最新消息,1
帮我看看国际的新闻,1
可以告诉我重要新闻,1
今日新闻啦,1
财经的最新消息,1
国内的新闻资讯,1
体育的最新消息,1
我想知道最新消息,1
能否重要新闻,1
最近国际有什么消息,1
请问有什么新闻,1
重要新闻吧,1
旅游的热点话题,1
财经的新闻资讯,1
交通的新闻资讯,1
有什么军事新闻,1
有什么健康新闻,1
我想了解健康的最新情况,1
最新消息,1
社会的热点话题,1
教育的新闻资讯,1
互联网的热点话题,1
可以告诉我今天天气如何,2
明天天气预报,2
天气情况如何,2
今天会下雨吗,2
今天的天气如何,2
我想知道明天天气预报,2
帮我今天天气如何,2
帮我什么是温度,2
帮我请问天气,2
天气可以像今天一样,2
能否明天天气预报,2
请问天气哦,2
今天天气如何,2
外面的天气好吗,2
外面天气好吗呢,2
我想知道今天会下雨吗,2
帮我明天天气预报,2
请告诉我明天天气预报,2
请问外面天气好吗,2
天气情况如何吧,2
我想知道气温是多少度,2
我可以问天气吗,2
今天天气怎么样吧,2
可以告诉我明天天气预报,2
帮助我明天的天气预报,2
能否今天天气怎么样,2
气温是多少度呢,2
今天天气如何啦,2
今天天气如何呢,2
能否今日天气怎样,2
麻烦外面天气好吗,2
温度是多少,2
请问天气啦,2
明天天气预报吧,2
今天天气怎么样,2
能否请问天气,2
可以告诉我今天天气怎么样,2
可以告诉我今日天气怎样,2
天气情况如何啦,2
今天天气怎么样啊,2
我想知道天气情况如何,2
麻烦请问天气,2
我想知道今天天气怎么样,2
今天天气如何哦,2
请问天气呢,2
我想知道外面天气好吗,2
麻烦今天天气怎么样,2
我想知道今天天气如何,2
今天天气如何吧,2
能否今天天气如何,2
请告诉我请问天气,2
帮我天气情况如何,2
帮助我今天的天气如何,2
请告诉我今天天气怎么样,2
请告诉我今天天气如何,2
请问今日天气怎样,2
气温是多少度啊,2
天气是什么,2
可以告诉我天气情况如何,2
请问气温是多少度,2
请问天气吧,2
请询问明天的天气预报,2
帮我气温是多少度,2
能否外面天气好吗,2
外面天气好吗啊,2
麻烦明天天气预报,2
天气状况是什么,2
可以告诉我请问天气,2
能否天气情况如何,2
请告诉我气温是多少度,2
帮我今日天气怎样,2
能否气温是多少度,2
麻烦气温是多少度,2
天气情况如何呢,2
请告诉我外面天气好吗,2
天气情况如何啊,2
天气情况如何哦,2
麻烦天气情况如何,2
请告诉我天气情况如何,2
帮助我天气,2
外面天气好吗啦,2
可以告诉我今天会下雨吗,2
请问天气啊,2
气温是多少度吧,2
今天天气怎么样啦,2
可以告诉我外面天气好吗,2
今日天气怎样哦,2
我想知道今日天气怎样,2
麻烦今天天气如何,2
请问天气,2
今天天气怎么样呢,2
你能问天气吗,2
今天天气如何啊,2
温度可能吗,2
麻烦今日天气怎样,2
今天天气吗,2
今天气温吗,2
今天温度吗,2
今天湿度吗,2
今天下雨吗,2
今天下雪吗,2
今天刮风吗,2
今天空气质量吗,2
今天气压吗,2
今天体感温度吗,2
明天天气吗,2
明天气温吗,2
明天温度吗,2
明天湿度吗,2
明天下雨吗,2
明天下雪吗,2
明天刮风吗,2
明天空气质量吗,2
明天气压吗,2
明天体感温度吗,2
请问天气,2
请问气温,2
请问温度,2
请问湿度,2
请问下雨,2
请问下雪,2
请问刮风,2
请问空气质量,2
请问体感温度,2
帮我看看天气,2
帮我看看气温,2
帮我看看温度,2
帮我看看湿度,2
帮我看看下雨,2
帮我看看下雪,2
帮我看看刮风,2
帮我看看空气质量,2
帮我看看体感温度,2
我想知道天气,2
我想知道气温,2
我想知道温度,2
我想知道湿度,2
我想知道下雨,2
我想知道下雪,2
我想知道刮风,2
我想知道空气质量,2
我想知道体感温度,2
能否告诉我天气,2
能否告诉我气温,2
能否告诉我温度,2
能否告诉我湿度,2
能否告诉我下雨,2
能否告诉我下雪,2
能否告诉我刮风,2
能否告诉我空气质量,2
能否告诉我体感温度,2
麻烦天气,2
麻烦气温,2
麻烦温度,2
麻烦湿度,2
麻烦下雨,2
麻烦下雪,2
麻烦刮风,2
麻烦空气质量,2
麻烦体感温度,2
天气怎么样,2
气温怎么样,2
温度怎么样,2
湿度怎么样,2
下雨怎么样,2
下雪怎么样,2
刮风怎么样,2
空气质量怎么样,2
体感温度怎么样,2
天气如何,2
气温如何,2
温度如何,2
湿度如何,2
下雨如何,2
下雪如何,2
刮风如何,2
空气质量如何,2
体感温度如何,2
天气情况,2
气温情况,2
温度情况,2
湿度情况,2
下雨情况,2
下雪情况,2
刮风情况,2
空气质量情况,2
体感温度情况,2
帮助我今天的天气如何,2
今天天气如何啊,2
明天温度吗,2
体感温度怎么样,2
我想知道外面天气好吗,2
请问天气呢,2
能否告诉我体感温度,2
可以告诉我今天天气如何,2
气温情况,2
湿度情况,2
今天天气怎么样啦,2
今天体感温度吗,2
能否告诉我下雨,2
